date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-12-31,New York,Brooklyn,0,6,http://www.gunviolencearchive.org/incident/496684,6,"40.6712, -73.9088",Congressional District: 8,NA,NA,NA,NA
2013-12-28,Alabama,Montgomery,3,5,http://www.gunviolencearchive.org/incident/496668,8,"32.3719, -86.2952",Congressional District: 2,NA,NA,NA,NA
2013-12-26,Louisiana,Slidell,2,6,http://www.gunviolencearchive.org/incident/496634,8,"30.2743, -89.7826",Congressional District: 1,NA,NA,NA,40 SW
2013-12-26,Louisiana,Lockport,3,3,http://www.gunviolencearchive.org/incident/496584,6,"29.6456, -90.5388",Congressional District: 1,NA,NA,NA,NA
2013-12-25,New Jersey,Irvington,3,2,http://www.gunviolencearchive.org/incident/495588,5,"40.7217, -74.2217",Congressional District: 10,NA,NA,NA,NA
2013-12-25,New York,Medford,1,3,http://www.gunviolencearchive.org/incident/495577,4,"40.8463, -72.9919",Congressional District: 1,NA,NA,NA,NA
2013-12-22,Michigan,Muskegon,1,3,http://www.gunviolencearchive.org/incident/495566,4,"43.3115, -86.2997",Congressional District: 2,NA,NA,NA,NA
2013-12-21,North Carolina,Shelby,0,4,http://www.gunviolencearchive.org/incident/495557,4,"35.2875, -81.546",Congressional District: 10,NA,NA,NA,NA
2013-12-21,New Jersey,Trenton,1,4,http://www.gunviolencearchive.org/incident/495548,5,"40.205, -74.7517",Congressional District: 12,NA,NA,NA,NA
2013-12-15,Florida,Homestead (Florida City),1,3,http://www.gunviolencearchive.org/incident/495543,4,"25.4631, -80.4572",Congressional District: 26,NA,NA,NA,NA
2013-12-15,Texas,Channelview,0,5,http://www.gunviolencearchive.org/incident/495530,5,"29.7908, -95.1355",Congressional District: 36,NA,NA,NA,NA
2013-12-14,North Carolina,Statesville,0,4,http://www.gunviolencearchive.org/incident/495506,4,"35.7603, -80.8937",Congressional District: 5,NA,NA,NA,NA
2013-12-07,Delaware,Wilmington,0,4,http://www.gunviolencearchive.org/incident/495374,4,"39.7361, -75.6309",Congressional District: 1,NA,NA,NA,NA
2013-12-01,Kansas,Topeka,4,0,http://www.gunviolencearchive.org/incident/495332,4,"39.0379, -95.6905",Congressional District: 2,NA,NA,NA,29 SW
2013-12-01,Florida,Miami,2,2,http://www.gunviolencearchive.org/incident/495347,4,"25.8336, -80.2167",Congressional District: 24,NA,NA,NA,NA
2013-11-30,Michigan,Lansing,0,5,http://www.gunviolencearchive.org/incident/495323,5,"42.7326, -84.5557",Congressional District: 8,NA,NA,NA,NA
2013-11-30,Georgia,Valdosta,0,4,http://www.gunviolencearchive.org/incident/495268,4,"30.8405, -83.2801",Congressional District: 8,NA,NA,NA,NA
2013-11-29,California,Fresno,0,4,http://www.gunviolencearchive.org/incident/495195,4,"36.7297, -119.81",Congressional District: 16,NA,NA,NA,NA
2013-11-29,Indiana,Indianapolis,0,4,http://www.gunviolencearchive.org/incident/495178,4,"39.8182, -86.1082",Congressional District: 7,NA,NA,NA,NA
2013-11-28,New York,Rochester,0,4,http://www.gunviolencearchive.org/incident/495171,4,"43.1595, -77.61",Congressional District: 25,NA,NA,NA,NA
2013-11-25,Minnesota,Minneapolis,1,3,http://www.gunviolencearchive.org/incident/494215,4,"44.9481, -93.2505",Congressional District: 5,NA,NA,NA,NA
2013-11-25,California,Oakland,0,7,http://www.gunviolencearchive.org/incident/495145,7,"37.7488, -122.165",Congressional District: 13,NA,NA,NA,NA
2013-11-23,Oklahoma,Tulsa,4,1,http://www.gunviolencearchive.org/incident/494155,5,"36.1771, -95.9403",Congressional District: 1,NA,NA,NA,NA
