date,state,city,address,killed,injured,incident
11-Mar-18,Michigan,Saginaw,Cumberland Ave and Hess St,0,5,http://www.gunviolencearchive.org/incident/1067296
11-Mar-18,Illinois,Champaign,700 block of N Hickory St,1,3,http://www.gunviolencearchive.org/incident/1067264
9-Mar-18,North Carolina,Wadesboro,1300 E Caswell St,3,1,http://www.gunviolencearchive.org/incident/1066594
9-Mar-18,Indiana,South Bend,800 block of E Dayton St,0,6,http://www.gunviolencearchive.org/incident/1067061
7-Mar-18,Alabama,Hurtsboro,531 Main Street,2,2,http://www.gunviolencearchive.org/incident/1064514
4-Mar-18,Illinois,Rockford,400 Howard Ave,1,4,http://www.gunviolencearchive.org/incident/1062466
3-Mar-18,Florida,Miami,1300 Block of NW 62nd Ln,0,4,http://www.gunviolencearchive.org/incident/1062123
3-Mar-18,New York,Brooklyn,Kings Highway and Utica Avenue,1,3,http://www.gunviolencearchive.org/incident/1061748
27-Feb-18,Connecticut,Bridgeport,1306 Stratford Ave,0,4,http://www.gunviolencearchive.org/incident/1059559
26-Feb-18,Michigan,Detroit,22000 block of Fenkell Ave,5,0,http://www.gunviolencearchive.org/incident/1057518
23-Feb-18,Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,1,3,http://www.gunviolencearchive.org/incident/1056240
18-Feb-18,Texas,San Antonio,2893 Cinema Ridge,0,5,http://www.gunviolencearchive.org/incident/1052372
17-Feb-18,Kansas,Kansas City,1615 Minnesota,1,7,http://www.gunviolencearchive.org/incident/1052035
17-Feb-18,Tennessee,Memphis,3188 N Watkins Ave,0,5,http://www.gunviolencearchive.org/incident/1051407
16-Feb-18,Oklahoma,Oklahoma City,S Pennsylvania Ave and SW 15th St,1,3,http://www.gunviolencearchive.org/incident/1051291
14-Feb-18,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,http://www.gunviolencearchive.org/incident/1049217
13-Feb-18,Louisiana,New Orleans,5400 block of Andry Street,2,3,http://www.gunviolencearchive.org/incident/1049024
11-Feb-18,Michigan,Detroit,19432 Lamont Street,4,3,http://www.gunviolencearchive.org/incident/1047761
10-Feb-18,Kentucky,Paintsville,413 Mill Street,5,0,http://www.gunviolencearchive.org/incident/1046961
7-Feb-18,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,http://www.gunviolencearchive.org/incident/1044234
5-Feb-18,Colorado,Colorado Springs,4225 Galley Rd,2,4,http://www.gunviolencearchive.org/incident/1043447
3-Feb-18,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,http://www.gunviolencearchive.org/incident/1042280
31-Jan-18,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4,http://www.gunviolencearchive.org/incident/1040815
28-Jan-18,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,http://www.gunviolencearchive.org/incident/1037529
28-Jan-18,Pennsylvania,Reading,123 S 3rd St,4,0,http://www.gunviolencearchive.org/incident/1038429
28-Jan-18,Indiana,Indianapolis,1313 N Sherman Dr,2,3,http://www.gunviolencearchive.org/incident/1037515
27-Jan-18,California,Los Angeles,243 East 119th St,0,5,http://www.gunviolencearchive.org/incident/1037541
27-Jan-18,Kentucky,Bowling Green,645 Pearl Street,0,4,http://www.gunviolencearchive.org/incident/1037438
25-Jan-18,District of Columbia,Washington,1600 block of Kenilworth Ave NE,0,4,http://www.gunviolencearchive.org/incident/1035803
23-Jan-18,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,0,4,http://www.gunviolencearchive.org/incident/1034205
23-Jan-18,Kentucky,Benton,416 High School Road,2,14,http://www.gunviolencearchive.org/incident/1033262
21-Jan-18,Florida,Orlando,3101 Willow Bend Blvd,0,4,http://www.gunviolencearchive.org/incident/1032393
21-Jan-18,Illinois,Chicago,3200 W Division St,0,4,http://www.gunviolencearchive.org/incident/1031851
17-Jan-18,District of Columbia,Washington,2000 block of 16th St SE,1,3,http://www.gunviolencearchive.org/incident/1029095
16-Jan-18,South Carolina,York,3042 Farrier Lane,1,4,http://www.gunviolencearchive.org/incident/1027999
15-Jan-18,Florida,Alachua,14223 NW 156th Pl,0,5,http://www.gunviolencearchive.org/incident/1042072
14-Jan-18,Alabama,Eutaw,809 Mesopotamia St,1,4,http://www.gunviolencearchive.org/incident/1026804
14-Jan-18,Alabama,Madison,101 Westchester Dr,0,4,http://www.gunviolencearchive.org/incident/1027013
12-Jan-18,Tennessee,Nashville,2614 Jenkins Ct,3,2,http://www.gunviolencearchive.org/incident/1025673
11-Jan-18,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,2,2,http://www.gunviolencearchive.org/incident/1025272
7-Jan-18,Alabama,Union Springs,U.S. Highway 29,1,5,http://www.gunviolencearchive.org/incident/1022067
7-Jan-18,Florida,Plantation,5225 W Broward Blvd,0,4,http://www.gunviolencearchive.org/incident/1022055
5-Jan-18,Mississippi,Hattiesburg,6168 US 49,0,6,http://www.gunviolencearchive.org/incident/1021788
4-Jan-18,Arkansas,Brinkley,615 W 6th St,1,3,http://www.gunviolencearchive.org/incident/1020574
1-Jan-18,Alabama,Huntsville,2025 Sparkman Dr NW,1,3,http://www.gunviolencearchive.org/incident/1018295
