date,state,city,killed,injured,incident,victims
2013-12-31,New York,Brooklyn,0,6,http://www.gunviolencearchive.org/incident/496684,6
2013-12-28,Alabama,Montgomery,3,5,http://www.gunviolencearchive.org/incident/496668,8
2013-12-26,Louisiana,Slidell,2,6,http://www.gunviolencearchive.org/incident/496634,8
2013-12-26,Louisiana,Lockport,3,3,http://www.gunviolencearchive.org/incident/496584,6
2013-12-25,New Jersey,Irvington,3,2,http://www.gunviolencearchive.org/incident/495588,5
2013-12-25,New York,Medford,1,3,http://www.gunviolencearchive.org/incident/495577,4
2013-12-22,Michigan,Muskegon,1,3,http://www.gunviolencearchive.org/incident/495566,4
2013-12-21,North Carolina,Shelby,0,4,http://www.gunviolencearchive.org/incident/495557,4
2013-12-21,New Jersey,Trenton,1,4,http://www.gunviolencearchive.org/incident/495548,5
2013-12-15,Florida,Homestead (Florida City),1,3,http://www.gunviolencearchive.org/incident/495543,4
2013-12-15,Texas,Channelview,0,5,http://www.gunviolencearchive.org/incident/495530,5
2013-12-14,North Carolina,Statesville,0,4,http://www.gunviolencearchive.org/incident/495506,4
2013-12-07,Delaware,Wilmington,0,4,http://www.gunviolencearchive.org/incident/495374,4
2013-12-01,Kansas,Topeka,4,0,http://www.gunviolencearchive.org/incident/495332,4
2013-12-01,Florida,Miami,2,2,http://www.gunviolencearchive.org/incident/495347,4
2013-11-30,Michigan,Lansing,0,5,http://www.gunviolencearchive.org/incident/495323,5
2013-11-30,Georgia,Valdosta,0,4,http://www.gunviolencearchive.org/incident/495268,4
2013-11-29,California,Fresno,0,4,http://www.gunviolencearchive.org/incident/495195,4
2013-11-29,Indiana,Indianapolis,0,4,http://www.gunviolencearchive.org/incident/495178,4
2013-11-28,New York,Rochester,0,4,http://www.gunviolencearchive.org/incident/495171,4
2013-11-25,Minnesota,Minneapolis,1,3,http://www.gunviolencearchive.org/incident/494215,4
2013-11-25,California,Oakland,0,7,http://www.gunviolencearchive.org/incident/495145,7
2013-11-23,Oklahoma,Tulsa,4,1,http://www.gunviolencearchive.org/incident/494155,5
2013-11-21,Pennsylvania,Philadelphia,0,4,http://www.gunviolencearchive.org/incident/494116,4
2013-11-20,Texas,Houston,3,2,http://www.gunviolencearchive.org/incident/494072,5
2013-11-15,Texas,Houston,1,3,http://www.gunviolencearchive.org/incident/494033,4
2013-11-11,New York,Brooklyn,4,1,http://www.gunviolencearchive.org/incident/493882,5
2013-11-10,Ohio,Canton,1,3,http://www.gunviolencearchive.org/incident/493893,4
2013-11-10,Arizona,Phoenix,1,3,http://www.gunviolencearchive.org/incident/493863,4
2013-11-09,Texas,Cypress,2,16,http://www.gunviolencearchive.org/incident/493842,18
2013-11-07,Michigan,Detroit,3,7,http://www.gunviolencearchive.org/incident/493035,10
2013-11-05,Florida,Jacksonville,4,0,http://www.gunviolencearchive.org/incident/493109,4
2013-11-05,District of Columbia,Washington,0,4,http://www.gunviolencearchive.org/incident/492999,4
2013-11-03,California,Los Angeles,1,3,http://www.gunviolencearchive.org/incident/492950,4
2013-11-03,California,Perris,0,5,http://www.gunviolencearchive.org/incident/492985,5
2013-11-02,Kentucky,Radcliff,1,3,http://www.gunviolencearchive.org/incident/492933,4
2013-10-29,South Carolina,Bradley (Callison),5,0,http://www.gunviolencearchive.org/incident/492914,5
2013-10-27,California,Vallejo,1,6,http://www.gunviolencearchive.org/incident/492570,7
2013-10-27,North Carolina,Southern Pines,1,4,http://www.gunviolencearchive.org/incident/492393,5
2013-10-27,California,Roseville,0,4,http://www.gunviolencearchive.org/incident/492699,4
2013-10-27,Texas,Beaumont,0,4,http://www.gunviolencearchive.org/incident/492427,4
2013-10-26,Connecticut,New Haven,1,5,http://www.gunviolencearchive.org/incident/492366,6
2013-10-26,Florida,Miami Gardens,0,4,http://www.gunviolencearchive.org/incident/481419,4
2013-10-21,Pennsylvania,Pittsburgh (Homewood),2,5,http://www.gunviolencearchive.org/incident/481268,7
2013-10-20,Florida,Miami,2,2,http://www.gunviolencearchive.org/incident/481263,4
2013-10-20,Florida,Margate,0,4,http://www.gunviolencearchive.org/incident/481254,4
2013-10-13,Pennsylvania,Harrisburg,0,8,http://www.gunviolencearchive.org/incident/481043,8
2013-10-12,Oklahoma,Tulsa,0,5,http://www.gunviolencearchive.org/incident/481029,5
2013-10-09,Texas,Paris,4,0,http://www.gunviolencearchive.org/incident/480981,4
2013-10-06,Pennsylvania,Philadelphia,1,5,http://www.gunviolencearchive.org/incident/480961,6
2013-10-06,Arizona,Avondale,0,4,http://www.gunviolencearchive.org/incident/480897,4
2013-10-05,New York,Buffalo,0,4,http://www.gunviolencearchive.org/incident/480882,4
2013-10-05,California,Fresno,1,12,http://www.gunviolencearchive.org/incident/480765,13
2013-10-02,Nebraska,Omaha,0,4,http://www.gunviolencearchive.org/incident/480747,4
2013-09-29,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/480730,4
2013-09-27,Ohio,Zanesville,0,4,http://www.gunviolencearchive.org/incident/480720,4
2013-09-25,North Carolina,Haw River,0,4,http://www.gunviolencearchive.org/incident/480700,4
2013-09-24,West Virginia,Huntington,0,6,http://www.gunviolencearchive.org/incident/480691,6
2013-09-22,Missouri,Saint Louis,1,3,http://www.gunviolencearchive.org/incident/480661,4
2013-09-22,Kansas,Wichita,1,6,http://www.gunviolencearchive.org/incident/480646,7
2013-09-22,Michigan,Muskegon,2,4,http://www.gunviolencearchive.org/incident/480669,6
2013-09-21,Florida,Palm Beach,0,4,http://www.gunviolencearchive.org/incident/480632,4
2013-09-20,Texas,Rice,5,0,http://www.gunviolencearchive.org/incident/480605,5
2013-09-20,California,Long Beach,2,2,http://www.gunviolencearchive.org/incident/480582,4
2013-09-19,Illinois,Chicago,0,12,http://www.gunviolencearchive.org/incident/480521,12
2013-09-18,Tennessee,Memphis,1,4,http://www.gunviolencearchive.org/incident/480470,5
2013-09-17,Florida,Kissimmee,0,5,http://www.gunviolencearchive.org/incident/480462,5
2013-09-17,Nevada,Las Vegas,0,4,http://www.gunviolencearchive.org/incident/480453,4
2013-09-17,Michigan,Lansing,0,4,http://www.gunviolencearchive.org/incident/480415,4
2013-09-17,California,Stockton,2,3,http://www.gunviolencearchive.org/incident/480394,5
2013-09-16,District of Columbia,Washington Navy Yard,11,3,http://www.gunviolencearchive.org/incident/480366,14
2013-09-15,Colorado,Colorado Springs,0,5,http://www.gunviolencearchive.org/incident/480104,5
2013-09-15,Washington,Yakima,0,6,http://www.gunviolencearchive.org/incident/480071,6
2013-09-15,Georgia,Snellville,3,1,http://www.gunviolencearchive.org/incident/480058,4
2013-09-14,North Carolina,Marion,0,4,http://www.gunviolencearchive.org/incident/479821,4
2013-09-12,District of Columbia,Washington,1,3,http://www.gunviolencearchive.org/incident/479757,4
2013-09-12,Tennessee,Crab Orchard,4,0,http://www.gunviolencearchive.org/incident/479747,4
2013-09-11,New York,New York,0,4,http://www.gunviolencearchive.org/incident/479774,4
2013-09-10,Connecticut,Bridgeport,1,4,http://www.gunviolencearchive.org/incident/479734,5
2013-09-07,Indiana,Gary,2,4,http://www.gunviolencearchive.org/incident/479709,6
2013-09-07,Missouri,Saint Louis,1,3,http://www.gunviolencearchive.org/incident/479727,4
2013-09-05,North Carolina,Charlotte,0,4,http://www.gunviolencearchive.org/incident/479682,4
2013-08-25,California,Oakland,0,4,http://www.gunviolencearchive.org/incident/479646,4
2013-08-25,Florida,Lake Butler,4,1,http://www.gunviolencearchive.org/incident/492276,5
2013-08-25,Minnesota,Minneapolis,2,2,http://www.gunviolencearchive.org/incident/492270,4
2013-08-25,South Carolina,Latta,1,3,http://www.gunviolencearchive.org/incident/492260,4
2013-08-20,Maryland,Baltimore,2,2,http://www.gunviolencearchive.org/incident/491992,4
2013-08-19,Illinois,Chicago,1,4,http://www.gunviolencearchive.org/incident/491965,5
2013-08-18,New Jersey,Port Norris,0,4,http://www.gunviolencearchive.org/incident/491948,4
2013-08-18,Ohio,Toledo,0,4,http://www.gunviolencearchive.org/incident/491937,4
2013-08-18,South Carolina,Chesterfield,1,4,http://www.gunviolencearchive.org/incident/491898,5
2013-08-18,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/491840,4
2013-08-17,California,San Francisco,0,4,http://www.gunviolencearchive.org/incident/491819,4
2013-08-14,Oklahoma,Oklahoma City,4,0,http://www.gunviolencearchive.org/incident/492001,4
2013-08-13,Pennsylvania,Philadelphia,0,4,http://www.gunviolencearchive.org/incident/491770,4
2013-08-11,Virginia,Portsmouth,1,4,http://www.gunviolencearchive.org/incident/491749,5
2013-08-11,New York,Brooklyn,0,4,http://www.gunviolencearchive.org/incident/491710,4
2013-08-10,Delaware,Wilmington,0,4,http://www.gunviolencearchive.org/incident/491729,4
2013-08-09,Missouri,Saint Louis,2,2,http://www.gunviolencearchive.org/incident/491734,4
2013-08-07,Texas,Dallas,4,4,http://www.gunviolencearchive.org/incident/491698,8
2013-08-06,New Jersey,Montclair,0,4,http://www.gunviolencearchive.org/incident/491630,4
2013-08-06,Pennsylvania,Saylorsburg,3,4,http://www.gunviolencearchive.org/incident/491609,7
2013-08-04,Missouri,Kansas City,1,3,http://www.gunviolencearchive.org/incident/491546,4
2013-08-04,California,Salinas,3,4,http://www.gunviolencearchive.org/incident/491473,7
2013-08-03,Michigan,Detroit,0,5,http://www.gunviolencearchive.org/incident/491461,5
2013-08-02,Indiana,Indianapolis,0,4,http://www.gunviolencearchive.org/incident/491438,4
2013-08-02,New Jersey,Newark,2,3,http://www.gunviolencearchive.org/incident/491416,5
2013-07-30,New Mexico,Hobbs,0,4,http://www.gunviolencearchive.org/incident/491292,4
2013-07-29,Washington,Granger,0,4,http://www.gunviolencearchive.org/incident/491281,4
2013-07-26,Florida,Hialeah,7,0,http://www.gunviolencearchive.org/incident/491265,7
2013-07-26,West Virginia,Clarksburg,4,0,http://www.gunviolencearchive.org/incident/491253,4
2013-07-25,Michigan,Inkster,0,4,http://www.gunviolencearchive.org/incident/491243,4
2013-07-24,Kansas,Topeka,0,4,http://www.gunviolencearchive.org/incident/491226,4
2013-07-21,New York,Brooklyn,0,4,http://www.gunviolencearchive.org/incident/491214,4
2013-07-20,New York,Brooklyn,0,5,http://www.gunviolencearchive.org/incident/491181,5
2013-07-19,Connecticut,Hartford,0,4,http://www.gunviolencearchive.org/incident/491082,4
2013-07-19,California,Madera,0,4,http://www.gunviolencearchive.org/incident/491073,4
