date,state,city,address,killed,injured,incident,geolocation,congresional_district,rifle_type,handgun_general,handgun_type,shotgun_type,other_rifle_type
"December 31, 2013",New York,Brooklyn,60 Glenmore Ave,0,6,http://www.gunviolencearchive.org/incident/496684,"40.6712, -73.9088",Congressional District: 8,NA,NA,NA,NA,NA
"December 28, 2013",Alabama,Montgomery,954 Highland Ave,3,5,http://www.gunviolencearchive.org/incident/496668,"32.3719, -86.2952",Congressional District: 2,NA,NA,NA,NA,NA
"December 26, 2013",Louisiana,Slidell,2144 First St,2,6,http://www.gunviolencearchive.org/incident/496634,"30.2743, -89.7826",Congressional District: 1,NA,NA,40 SW,NA,NA
"December 26, 2013",Louisiana,Lockport,313 Tenth St,3,3,http://www.gunviolencearchive.org/incident/496584,"29.6456, -90.5388",Congressional District: 1,NA,NA,NA,NA,NA
"December 25, 2013",New Jersey,Irvington,Nye Avenue and 21st Street,3,2,http://www.gunviolencearchive.org/incident/495588,"40.7217, -74.2217",Congressional District: 10,NA,NA,NA,NA,NA
"December 25, 2013",New York,Medford,33A Cedarhurst Ave,1,3,http://www.gunviolencearchive.org/incident/495577,"40.8463, -72.9919",Congressional District: 1,NA,NA,NA,NA,NA
"December 22, 2013",Michigan,Muskegon,2300 block of W McMillan Rd,1,3,http://www.gunviolencearchive.org/incident/495566,"43.3115, -86.2997",Congressional District: 2,NA,NA,NA,NA,NA
"December 21, 2013",North Carolina,Shelby,Jose Street,0,4,http://www.gunviolencearchive.org/incident/495557,"35.2875, -81.546",Congressional District: 10,NA,NA,NA,NA,NA
"December 21, 2013",New Jersey,Trenton,Jersey Street and Home Avenue,1,4,http://www.gunviolencearchive.org/incident/495548,"40.205, -74.7517",Congressional District: 12,NA,NA,NA,NA,NA
"December 15, 2013",Florida,Homestead (Florida City),7th Avenue and 13th Terrace,1,3,http://www.gunviolencearchive.org/incident/495543,"25.4631, -80.4572",Congressional District: 26,NA,NA,NA,NA,NA
"December 15, 2013",Texas,Channelview,900 block of Ashland Boulevard,0,5,http://www.gunviolencearchive.org/incident/495530,"29.7908, -95.1355",Congressional District: 36,NA,NA,NA,NA,NA
"December 14, 2013",North Carolina,Statesville,167 Wallace Springs,0,4,http://www.gunviolencearchive.org/incident/495506,"35.7603, -80.8937",Congressional District: 5,NA,NA,NA,NA,NA
"December 7, 2013",Delaware,Wilmington,3421 Kirkwood Hwy,0,4,http://www.gunviolencearchive.org/incident/495374,"39.7361, -75.6309",Congressional District: 1,NA,NA,NA,NA,NA
"December 1, 2013",Kansas,Topeka,1629 SW Central Park,4,0,http://www.gunviolencearchive.org/incident/495332,"39.0379, -95.6905",Congressional District: 2,NA,NA,29 SW,NA,NA
"December 1, 2013",Florida,Miami,NW 64th Street and 12th Avenue,2,2,http://www.gunviolencearchive.org/incident/495347,"25.8336, -80.2167",Congressional District: 24,NA,NA,NA,NA,NA
"November 30, 2013",Michigan,Lansing,N/A,0,5,http://www.gunviolencearchive.org/incident/495323,"42.7326, -84.5557",Congressional District: 8,NA,NA,NA,NA,NA
"November 30, 2013",Georgia,Valdosta,Gordon Street and North Ashley Street,0,4,http://www.gunviolencearchive.org/incident/495268,"30.8405, -83.2801",Congressional District: 8,NA,NA,NA,NA,NA
"November 29, 2013",California,Fresno,Oleander and Modoc,0,4,http://www.gunviolencearchive.org/incident/495195,"36.7297, -119.81",Congressional District: 16,NA,NA,NA,NA,NA
"November 29, 2013",Indiana,Indianapolis,3400 block of East 34th Street,0,4,http://www.gunviolencearchive.org/incident/495178,"39.8182, -86.1082",Congressional District: 7,NA,NA,NA,NA,NA
"November 28, 2013",New York,Rochester,St. Paul Boulevard and Andrews Street,0,4,http://www.gunviolencearchive.org/incident/495171,"43.1595, -77.61",Congressional District: 25,NA,NA,NA,NA,NA
"November 25, 2013",Minnesota,Minneapolis,1611 E Lake St,1,3,http://www.gunviolencearchive.org/incident/494215,"44.9481, -93.2505",Congressional District: 5,NA,NA,NA,NA,NA
"November 25, 2013",California,Oakland,96th Avenue and Olive Street,0,7,http://www.gunviolencearchive.org/incident/495145,"37.7488, -122.165",Congressional District: 13,NA,NA,NA,NA,NA
"November 23, 2013",Oklahoma,Tulsa,Pine Street and Harvard Avenue,4,1,http://www.gunviolencearchive.org/incident/494155,"36.1771, -95.9403",Congressional District: 1,NA,NA,NA,NA,NA
"November 21, 2013",Pennsylvania,Philadelphia,1400 block of N. 60th Street,0,4,http://www.gunviolencearchive.org/incident/494116,"39.9728, -75.2399",Congressional District: 1,NA,NA,NA,NA,NA
"November 20, 2013",Texas,Houston,8200 block of Sunbury,3,2,http://www.gunviolencearchive.org/incident/494072,"29.8222, -95.2761",Congressional District: 18,NA,NA,NA,NA,NA
"November 15, 2013",Texas,Houston,4400 block of Tiffany,1,3,http://www.gunviolencearchive.org/incident/494033,"29.6168, -95.4428",Congressional District: 9,NA,NA,NA,NA,NA
"November 11, 2013",New York,Brooklyn,318 Maujer St,4,1,http://www.gunviolencearchive.org/incident/493882,"40.7122, -73.9359",Congressional District: 7,NA,NA,NA,NA,308 Win
"November 10, 2013",Ohio,Canton,1215 Tuscarawas St W,1,3,http://www.gunviolencearchive.org/incident/493893,"40.8007, -81.3868",Congressional District: 7,NA,Handgun,NA,NA,NA
