date,killed,injured,victims,state,city,address,incident,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2015-12-31,0,6,6,Louisiana,New Orleans,1900 block of Amelia Street,http://www.gunviolencearchive.org/incident/476321,"29.9304, -90.0959",Congressional District: 2,NA,NA,NA,NA
2015-12-27,0,4,4,Tennessee,Jackson,North Parkway,http://www.gunviolencearchive.org/incident/473882,"35.6486, -88.8176",Congressional District: 8,NA,NA,NA,NA
2015-12-26,0,4,4,Pennsylvania,Philadelphia,4210 Macalester St,http://www.gunviolencearchive.org/incident/472268,"40.014, -75.1215",Congressional District: 13,NA,NA,NA,NA
2015-12-25,0,4,4,Florida,Jacksonville,Franklin and Odessa,http://www.gunviolencearchive.org/incident/471867,"30.3329, -81.6394",Congressional District: 5,NA,NA,NA,NA
2015-12-25,0,4,4,Alabama,Mobile,785 Schillinger Rd S,http://www.gunviolencearchive.org/incident/471860,"30.6714, -88.2254",Congressional District: 1,NA,NA,NA,NA
2015-12-21,0,4,4,California,San Leandro,14600 block of East 14th Street,http://www.gunviolencearchive.org/incident/469468,"37.7096, -122.135",Congressional District: 13,NA,NA,Handgun,NA
2015-12-20,1,4,5,North Carolina,Wilmington,11th and Castle Street,http://www.gunviolencearchive.org/incident/468968,"34.2289, -77.9346",Congressional District: 3,NA,NA,NA,NA
2015-12-20,1,4,5,Florida,Miami (Goulds),21630 Southwest 120th Avenue,http://www.gunviolencearchive.org/incident/468787,"25.5658, -80.3866",Congressional District: 26,NA,NA,NA,NA
2015-12-20,0,4,4,Florida,Miami-dade (county),Northeast Seventh Avenue and Northeast 166th Street,http://www.gunviolencearchive.org/incident/469614,"25.9278, -80.1862",Congressional District: 24,NA,NA,NA,NA
2015-12-13,1,3,4,California,Los Angeles,5550 S. Flower Street,http://www.gunviolencearchive.org/incident/464665,"33.9879, -118.282",Congressional District: 37,NA,NA,Handgun,NA
2015-12-13,0,4,4,California,Huntington Beach,17000 block of Keelson Lane,http://www.gunviolencearchive.org/incident/464945,"33.7116, -117.991",Congressional District: 48,NA,NA,NA,NA
2015-12-12,0,4,4,Georgia,Savannah,Whitaker Street,http://www.gunviolencearchive.org/incident/464002,"32.0668, -81.0977",Congressional District: 1,NA,NA,NA,NA
2015-12-12,1,3,4,Illinois,Lovejoy (Brooklyn),307 Jefferson St,http://www.gunviolencearchive.org/incident/465117,"38.657, -90.1685",Congressional District: 12,NA,NA,NA,NA
2015-12-11,1,3,4,Maryland,Baltimore,5100 block of Park Heights Avenue,http://www.gunviolencearchive.org/incident/463642,"39.3483, -76.6751",Congressional District: 7,NA,NA,NA,NA
2015-12-11,0,4,4,Pennsylvania,Pittsburgh (Mount Oliver),200 block of Brownsville Road,http://www.gunviolencearchive.org/incident/463734,"40.4159, -79.9875",Congressional District: 14,NA,NA,NA,NA
2015-12-08,1,3,4,Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,http://www.gunviolencearchive.org/incident/461476,"39.1497, -84.5615",Congressional District: 1,NA,NA,NA,NA
2015-12-06,1,3,4,Louisiana,Raceland,Market Street,http://www.gunviolencearchive.org/incident/460049,"29.7193, -90.6093",Congressional District: 6,NA,NA,NA,NA
2015-12-06,2,3,5,Nebraska,Omaha,North 108th Street and Military Road,http://www.gunviolencearchive.org/incident/460386,"41.3138, -96.0814",Congressional District: 2,NA,NA,NA,NA
2015-12-02,16,19,35,California,San Bernardino,1365 South Waterman Avenue,http://www.gunviolencearchive.org/incident/456893,"34.0758, -117.277",Congressional District: 31,NA,AR-15,NA,9mm
2015-12-02,1,3,4,Georgia,Savannah,100 block of West 33rd Street,http://www.gunviolencearchive.org/incident/457037,"32.0607, -81.1",Congressional District: 1,NA,NA,NA,NA
2015-11-29,0,5,5,Illinois,Kankakee,648 E. Court St,http://www.gunviolencearchive.org/incident/455394,"41.1193, -87.8576",Congressional District: 2,NA,NA,NA,NA
2015-11-27,3,9,12,Colorado,Colorado Springs,3480 Centennial Blvd,http://www.gunviolencearchive.org/incident/454059,"38.8767, -104.847",Congressional District: 5,NA,NA,NA,NA
2015-11-27,2,2,4,California,Sacramento,7900 block of Florin Road,http://www.gunviolencearchive.org/incident/455684,"38.495, -121.41",Congressional District: 7,NA,NA,NA,NA
2015-11-24,0,4,4,South Carolina,Horry (county),1321 Colletta Court,http://www.gunviolencearchive.org/incident/454788,"33.8706, -79.1407",Congressional District: 7,NA,NA,NA,NA
2015-11-23,4,1,5,Ohio,Columbus,90 block of S. Terrace Avenue,http://www.gunviolencearchive.org/incident/452007,"39.9533, -83.0662",Congressional District: 3,NA,NA,NA,NA
2015-11-23,0,5,5,Minnesota,Minneapolis,Morgan Avenue North,http://www.gunviolencearchive.org/incident/452120,"44.9861, -93.3045",Congressional District: 5,NA,NA,NA,NA
2015-11-22,0,4,4,Texas,Brownsville,1800 block of FM 802,http://www.gunviolencearchive.org/incident/453317,"25.9248, -97.4317",Congressional District: 34,NA,NA,NA,NA
2015-11-22,0,4,4,Washington,Seattle,Broadway and Pike,http://www.gunviolencearchive.org/incident/451338,"47.6141, -122.321",Congressional District: 7,NA,NA,NA,NA
2015-11-22,0,5,5,New York,Newburgh,203 Broadway,http://www.gunviolencearchive.org/incident/451305,"41.5004, -74.0187",Congressional District: 18,NA,NA,NA,NA
2015-11-22,1,3,4,South Carolina,North Charleston,Park Circle,http://www.gunviolencearchive.org/incident/452362,"32.8805, -79.9861",Congressional District: 6,NA,NA,Handgun,NA
2015-11-22,0,4,4,Illinois,Chicago,4100 block of West Roosevelt,http://www.gunviolencearchive.org/incident/451349,"41.8666, -87.6902",Congressional District: 7,NA,NA,NA,NA
2015-11-22,0,17,17,Louisiana,New Orleans,1900 block of Gallier Street,http://www.gunviolencearchive.org/incident/451495,"29.9748, -90.0372",Congressional District: 2,NA,NA,NA,NA
2015-11-21,1,3,4,Maryland,Baltimore,Stricker and School,http://www.gunviolencearchive.org/incident/451057,"39.3058, -76.6419",Congressional District: 7,NA,NA,NA,NA
2015-11-20,1,3,4,Pennsylvania,Pittsburgh,Prospect Drive,http://www.gunviolencearchive.org/incident/450505,"40.4314, -79.9356",Congressional District: 14,NA,NA,NA,NA
2015-11-18,0,5,5,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,http://www.gunviolencearchive.org/incident/449814,"36.7214, -119.8",Congressional District: 16,NA,NA,NA,NA
2015-11-16,3,1,4,Alabama,Cherokee (county),1400 block of County Road 664,http://www.gunviolencearchive.org/incident/448653,"34.2313, -85.6933",Congressional District: 3,NA,NA,NA,NA
2015-11-15,0,4,4,Pennsylvania,Philadelphia,5600 block of Blakemore Street,http://www.gunviolencearchive.org/incident/448286,"40.0483, -75.1602",Congressional District: 2,NA,NA,NA,NA
2015-11-15,5,0,5,Texas,Tennessee Colony,800 block of County Road 2217,http://www.gunviolencearchive.org/incident/448419,NA,NA,NA,NA,NA,NA
2015-11-14,0,4,4,Pennsylvania,Johnstown,1159 Main St,http://www.gunviolencearchive.org/incident/447462,"40.3432, -78.8837",Congressional District: 12,NA,NA,NA,NA
2015-11-13,4,1,5,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,http://www.gunviolencearchive.org/incident/446996,"30.4653, -81.6075",Congressional District: 4,NA,NA,NA,NA
2015-11-09,2,2,4,Indiana,Indianapolis,400 block of North Beville Ave,http://www.gunviolencearchive.org/incident/444458,"39.7729, -86.123",Congressional District: 7,NA,NA,NA,NA
2015-11-08,1,3,4,Iowa,Des Moines,4397 NW 6th Drive,http://www.gunviolencearchive.org/incident/443821,"41.6398, -93.625",Congressional District: 3,NA,NA,NA,NA
2015-11-08,0,4,4,Michigan,Warren,13859 8 Mile Road,http://www.gunviolencearchive.org/incident/444168,"42.4494, -82.9825",Congressional District: 9,NA,NA,NA,NA
2015-11-07,1,3,4,Colorado,Denver,Bayaud and Bannock,http://www.gunviolencearchive.org/incident/443652,"39.7148, -104.99",Congressional District: 1,NA,NA,NA,NA
2015-11-06,0,4,4,California,Bakersfield,1000 block of Feliz Drive,http://www.gunviolencearchive.org/incident/444406,"35.3506, -118.99",Congressional District: 21,NA,NA,NA,NA
2015-11-03,2,3,5,Florida,Jacksonville,Ella Street and Kings Road,http://www.gunviolencearchive.org/incident/441681,"30.3475, -81.6927",Congressional District: 5,NA,NA,NA,NA
2015-11-02,4,0,4,South Carolina,Pendleton,2217 Refuge Road,http://www.gunviolencearchive.org/incident/440743,"34.6474, -82.748",Congressional District: 3,NA,NA,NA,NA
2015-10-28,1,3,4,Louisiana,Houma,400 block of Morgan Street,http://www.gunviolencearchive.org/incident/438651,"29.595, -90.7305",Congressional District: 1,NA,NA,NA,NA
2015-10-27,0,5,5,Texas,Fort Worth,1700 block of Southcrest Drive,http://www.gunviolencearchive.org/incident/437836,"32.6706, -97.3452",Congressional District: 33,NA,NA,NA,NA
2015-10-26,0,5,5,Indiana,Evansville,711 E Virginia St,http://www.gunviolencearchive.org/incident/437323,"37.9819, -87.5537",Congressional District: 8,NA,NA,NA,NA
2015-10-25,0,5,5,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,http://www.gunviolencearchive.org/incident/436202,"35.3651, -78.3554",Congressional District: 7,NA,NA,NA,NA
2015-10-25,1,4,5,Arizona,Phoenix,Seventh Street and Broadway,http://www.gunviolencearchive.org/incident/436234,"33.4067, -112.065",Congressional District: 7,NA,NA,NA,NA
2015-10-25,0,5,5,District of Columbia,Washington,4300 block of Wheeler Road SE,http://www.gunviolencearchive.org/incident/436240,"38.8327, -76.988",Congressional District: 1,NA,NA,NA,NA
2015-10-24,0,4,4,South Carolina,Bamberg,682 Dixie Ave.,http://www.gunviolencearchive.org/incident/436219,"33.3011, -81.0339",Congressional District: 6,NA,NA,NA,NA
2015-10-22,1,3,4,Tennessee,Nashville,3500 John A. Merritt Blvd,http://www.gunviolencearchive.org/incident/435144,"36.167, -86.8286",Congressional District: 5,NA,NA,Handgun,NA
2015-10-19,0,6,6,Illinois,Calumet City,300 Campbell Avenue,http://www.gunviolencearchive.org/incident/433146,"41.6294, -87.5509",Congressional District: 2,NA,NA,NA,NA
2015-10-18,0,4,4,Louisiana,New Orleans,2600 block of Caffin Avenue,http://www.gunviolencearchive.org/incident/432711,"29.9772, -90.0112",Congressional District: 2,NA,NA,NA,NA
2015-10-17,0,4,4,Indiana,Elkhart,160 Easy Shopping Place,http://www.gunviolencearchive.org/incident/432072,"41.6901, -85.9667",Congressional District: 2,NA,NA,NA,NA
2015-10-17,1,4,5,Florida,Fort Myers,2224 First St,http://www.gunviolencearchive.org/incident/432466,"26.6439, -81.8705",Congressional District: 19,NA,NA,NA,NA
2015-10-12,0,4,4,Georgia,Decatur,4731 Glenwood Road,http://www.gunviolencearchive.org/incident/429410,"33.7369, -84.2243",Congressional District: 4,NA,NA,NA,NA
2015-10-10,0,6,6,Tennessee,Memphis,6135 Mount Moriah Road,http://www.gunviolencearchive.org/incident/428215,"35.0697, -89.8568",Congressional District: 9,NA,NA,NA,NA
2015-10-10,0,4,4,North Carolina,Charlotte,1900 block of West Boulevard,http://www.gunviolencearchive.org/incident/428247,"35.2143, -80.8897",Congressional District: 12,NA,NA,NA,NA
2015-10-10,1,3,4,Illinois,Peoria,2405 N Flora,http://www.gunviolencearchive.org/incident/429614,"40.7171, -89.6011",Congressional District: 17,NA,NA,NA,NA
2015-10-09,1,3,4,Arizona,Flagstaff,216 E Mountain View Drive,http://www.gunviolencearchive.org/incident/427621,"35.1893, -111.649",Congressional District: 1,NA,NA,Handgun,NA
2015-10-06,0,5,5,Maryland,Baltimore,300 block of North Payson Street,http://www.gunviolencearchive.org/incident/426256,"39.2919, -76.6489",Congressional District: 7,NA,NA,NA,NA
2015-10-02,1,4,5,Maryland,Baltimore,5400 Reisterstown Road,http://www.gunviolencearchive.org/incident/424224,"39.3463, -76.6884",Congressional District: 7,NA,NA,NA,NA
2015-10-01,10,9,19,Oregon,Roseburg,1140 Umpqua College Rd,http://www.gunviolencearchive.org/incident/423223,"43.2628, -123.28",Congressional District: 4,NA,AR-15,Handgun,NA
2015-09-28,0,5,5,Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,http://www.gunviolencearchive.org/incident/421650,"39.1374, -84.472",Congressional District: 1,NA,NA,NA,NA
2015-09-28,3,2,5,Illinois,Chicago,300 block of West 42nd Street,http://www.gunviolencearchive.org/incident/422064,"41.8184, -87.6338",Congressional District: 7,NA,NA,NA,NA
