date,killed,injured,victims,state,city,incident,geolocation,congressional_district,rifle_type,handgun_general,handgun_specific,handgun_type
2015-12-31,0,6,6,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/476321,"29.9304, -90.0959",2,NA,NA,NA,NA
2015-12-27,0,4,4,Tennessee,Jackson,http://www.gunviolencearchive.org/incident/473882,"35.6486, -88.8176",8,NA,NA,NA,NA
2015-12-26,0,4,4,Pennsylvania,Philadelphia,http://www.gunviolencearchive.org/incident/472268,"40.014, -75.1215",13,NA,NA,NA,NA
2015-12-25,0,4,4,Florida,Jacksonville,http://www.gunviolencearchive.org/incident/471867,"30.3329, -81.6394",5,NA,NA,NA,NA
2015-12-25,0,4,4,Alabama,Mobile,http://www.gunviolencearchive.org/incident/471860,"30.6714, -88.2254",1,NA,NA,NA,NA
2015-12-21,0,4,4,California,San Leandro,http://www.gunviolencearchive.org/incident/469468,"37.7096, -122.135",13,NA,Handgun,NA,NA
2015-12-20,1,4,5,North Carolina,Wilmington,http://www.gunviolencearchive.org/incident/468968,"34.2289, -77.9346",3,NA,NA,NA,NA
2015-12-20,1,4,5,Florida,Miami (Goulds),http://www.gunviolencearchive.org/incident/468787,"25.5658, -80.3866",26,NA,NA,NA,NA
2015-12-20,0,4,4,Florida,Miami-dade (county),http://www.gunviolencearchive.org/incident/469614,"25.9278, -80.1862",24,NA,NA,NA,NA
2015-12-13,1,3,4,California,Los Angeles,http://www.gunviolencearchive.org/incident/464665,"33.9879, -118.282",37,NA,Handgun,NA,NA
2015-12-13,0,4,4,California,Huntington Beach,http://www.gunviolencearchive.org/incident/464945,"33.7116, -117.991",48,NA,NA,NA,NA
2015-12-12,0,4,4,Georgia,Savannah,http://www.gunviolencearchive.org/incident/464002,"32.0668, -81.0977",1,NA,NA,NA,NA
2015-12-12,1,3,4,Illinois,Lovejoy (Brooklyn),http://www.gunviolencearchive.org/incident/465117,"38.657, -90.1685",12,NA,NA,NA,380 Auto
