date,state,city,address,killed,injured,incident
"December 31, 2016",Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,http://www.gunviolencearchive.org/incident/740447
"December 31, 2016",Texas,Houston,3704 Fannin Street,1,3,http://www.gunviolencearchive.org/incident/738749
"December 30, 2016",Ohio,Mansfield,3230 Possum Run Rd,0,5,http://www.gunviolencearchive.org/incident/738041
"December 30, 2016",Connecticut,Wallingford,95 S Turnpike Road,2,2,http://www.gunviolencearchive.org/incident/738576
"December 28, 2016",Georgia,Columbus,2914 10th Street,1,4,http://www.gunviolencearchive.org/incident/736690
"December 25, 2016",Alabama,Ozark,858 US-231,0,4,http://www.gunviolencearchive.org/incident/735947
"December 25, 2016",Illinois,Chicago,8600 block of South Maryland Avenue,3,4,http://www.gunviolencearchive.org/incident/734157
"December 25, 2016",New York,Mount Vernon,4 North 3rd Avenue,1,5,http://www.gunviolencearchive.org/incident/733599
"December 24, 2016",North Carolina,Madison,490 K Ford Rd,0,7,http://www.gunviolencearchive.org/incident/732927
"December 24, 2016",North Carolina,Wilson,2241 Banks Lane East,4,0,http://www.gunviolencearchive.org/incident/733176
"December 23, 2016",Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,http://www.gunviolencearchive.org/incident/732263
"December 23, 2016",Illinois,Chicago,4900 block of West Hubbard,0,4,http://www.gunviolencearchive.org/incident/732574
"December 17, 2016",North Carolina,Charlotte,4115 N. Tryon Street,0,4,http://www.gunviolencearchive.org/incident/728286
"December 17, 2016",Illinois,Chicago (Roseland),100 block of West 105th Street,5,0,http://www.gunviolencearchive.org/incident/727759
"December 16, 2016",Illinois,Chicago,4300 block of South Rockwell,2,2,http://www.gunviolencearchive.org/incident/727544
"December 16, 2016",Illinois,Chicago,13th and South Kedzie,0,4,http://www.gunviolencearchive.org/incident/727555
"December 12, 2016",California,Sacramento,4800 block of Myrtle Avenue,1,3,http://www.gunviolencearchive.org/incident/724667
"December 11, 2016",New York,Brooklyn,192 Knickerbocker Ave,0,4,http://www.gunviolencearchive.org/incident/723649
"December 11, 2016",Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,http://www.gunviolencearchive.org/incident/723643
"December 11, 2016",Maryland,Baltimore,3916 South Hanover Street,0,5,http://www.gunviolencearchive.org/incident/723292
"December 11, 2016",North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,http://www.gunviolencearchive.org/incident/725338
"December 9, 2016",Texas,Channelview,15300 block of Market,4,0,http://www.gunviolencearchive.org/incident/725323
"December 9, 2016",California,Fresno,842 Fresno Street,0,4,http://www.gunviolencearchive.org/incident/722452
"December 5, 2016",New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,http://www.gunviolencearchive.org/incident/719128
"December 3, 2016",California,Los Angeles,91st Street and Western Avenue,0,6,http://www.gunviolencearchive.org/incident/717873
"December 2, 2016",New Jersey,Bloomfield,3 1st Ave,0,6,http://www.gunviolencearchive.org/incident/717616
"December 1, 2016",California,Clearlake Oaks,N/A,1,3,http://www.gunviolencearchive.org/incident/716001
"November 30, 2016",Maryland,Baltimore,2901 Garrison Blvd,2,4,http://www.gunviolencearchive.org/incident/715101
"November 28, 2016",Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,http://www.gunviolencearchive.org/incident/712796
"November 28, 2016",California,Wilmington,1067 McDonald Avenue,0,4,http://www.gunviolencearchive.org/incident/712776
"November 28, 2016",California,San Pedro,300 block of West 2nd Street,0,4,http://www.gunviolencearchive.org/incident/713445
"November 27, 2016",Louisiana,New Orleans,100 block of Bourbon Street,1,9,http://www.gunviolencearchive.org/incident/711597
"November 27, 2016",Missouri,Kansas City,Gregory and Prospect,0,7,http://www.gunviolencearchive.org/incident/711744
"November 26, 2016",Illinois,Chicago,8800 block of S Exchange Ave,1,5,http://www.gunviolencearchive.org/incident/710732
"November 25, 2016",Louisiana,New Orleans,Magnolia Street and Felicity Street,0,4,http://www.gunviolencearchive.org/incident/710467
"November 24, 2016",Kentucky,Louisville,4501 W Broadway,2,4,http://www.gunviolencearchive.org/incident/709370
"November 24, 2016",New York,Albany,77 Central Ave,1,3,http://www.gunviolencearchive.org/incident/709276
"November 23, 2016",Mississippi,Olive Branch,928 Cross Road,0,4,http://www.gunviolencearchive.org/incident/708777
"November 22, 2016",Florida,Clewiston,1068 Harlem Academy Avenue,1,4,http://www.gunviolencearchive.org/incident/708392
"November 18, 2016",Illinois,Chicago,5000 block of West Wabansia,0,4,http://www.gunviolencearchive.org/incident/704568
"November 17, 2016",Tennessee,Dyersburg,160 Longfellow,1,7,http://www.gunviolencearchive.org/incident/703245
"November 13, 2016",Florida,Jacksonville,5105 Cleveland Rd,3,2,http://www.gunviolencearchive.org/incident/699605
"November 13, 2016",Texas,San Antonio,8000 Midcrown,0,4,http://www.gunviolencearchive.org/incident/699332
"November 13, 2016",California,San Diego,3800 block of Marlborough Avenue,3,2,http://www.gunviolencearchive.org/incident/700232
"November 13, 2016",Florida,Orlando,Conley Street and South Ivey Lane,0,4,http://www.gunviolencearchive.org/incident/699316
"November 12, 2016",California,Sacramento,8600 block of Ardith Drive,1,5,http://www.gunviolencearchive.org/incident/699033
"November 12, 2016",Missouri,Kansas City,21st St and Cleveland Ave,1,3,http://www.gunviolencearchive.org/incident/700363
"November 12, 2016",Connecticut,Bridgeport,2500 Park Avenue,0,5,http://www.gunviolencearchive.org/incident/699303
"November 11, 2016",Texas,Houston,7705 Channelside Street,0,4,http://www.gunviolencearchive.org/incident/699863
"November 10, 2016",Texas,Houston,6610 S Sam Houston Pkwy W,1,3,http://www.gunviolencearchive.org/incident/698383
"November 9, 2016",Washington,Seattle,1524 3rd Ave,0,5,http://www.gunviolencearchive.org/incident/696917
"November 9, 2016",Illinois,Chicago,3400 block of W Monroe,1,3,http://www.gunviolencearchive.org/incident/697377
"November 9, 2016",Tennessee,Memphis,1800 block of East Brooks Road,0,4,http://www.gunviolencearchive.org/incident/696352
"November 5, 2016",Florida,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3,http://www.gunviolencearchive.org/incident/693624
"November 5, 2016",Texas,San Antonio,10726 Perrin Beitel Rd,0,4,http://www.gunviolencearchive.org/incident/693438
"November 5, 2016",South Carolina,Myrtle Beach,803 Main St,0,5,http://www.gunviolencearchive.org/incident/693401
"November 5, 2016",California,Oakland,420 14th Street,0,8,http://www.gunviolencearchive.org/incident/693374
"November 5, 2016",Illinois,Chicago,4800 block of North Winthrop,0,5,http://www.gunviolencearchive.org/incident/693290
"November 4, 2016",Pennsylvania,Philadelphia,5451 Springfield Ave,0,4,http://www.gunviolencearchive.org/incident/693307
"November 3, 2016",Illinois,Chicago,8000 block of S Shore Dr,2,2,http://www.gunviolencearchive.org/incident/692020
"November 3, 2016",New Jersey,Orange,234 Cleveland Street,2,2,http://www.gunviolencearchive.org/incident/692315
"November 2, 2016",Arkansas,Little Rock,2111 Bragg Street,1,4,http://www.gunviolencearchive.org/incident/692025
"November 1, 2016",Tennessee,Memphis,5200 block of Zodiac Rd,1,5,http://www.gunviolencearchive.org/incident/691113
"October 31, 2016",Louisiana,Shreveport,700 Block of W 68th St,0,4,http://www.gunviolencearchive.org/incident/689518
"October 30, 2016",Ohio,Toledo,742 Junction Ave,0,4,http://www.gunviolencearchive.org/incident/688979
"October 30, 2016",New York,New York (Manhattan),135 Ridge Street,0,4,http://www.gunviolencearchive.org/incident/688841
"October 30, 2016",New York,Newburgh,119 First Street,2,5,http://www.gunviolencearchive.org/incident/688577
"October 30, 2016",Maryland,Capitol Heights,6860 Walker Mill Road,3,3,http://www.gunviolencearchive.org/incident/689020
"October 30, 2016",Texas,San Antonio,2900 block of Aspen Meadow,0,5,http://www.gunviolencearchive.org/incident/688592
"October 29, 2016",Ohio,Dayton,2010 Cornell Ridge Dr,1,3,http://www.gunviolencearchive.org/incident/687940
"October 29, 2016",California,Los Angeles,1600 block of Century Boulevard,0,5,http://www.gunviolencearchive.org/incident/689009
"October 29, 2016",California,Riverside,3500 block of Madison Street,0,4,http://www.gunviolencearchive.org/incident/688210
"October 28, 2016",Mississippi,Jackson,200 block of Lorenz Blvd,0,6,http://www.gunviolencearchive.org/incident/688429
"October 28, 2016",Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,http://www.gunviolencearchive.org/incident/687375
"October 27, 2016",Georgia,Jackson,600 block of Moccasin Gap Road,4,0,http://www.gunviolencearchive.org/incident/686312
"October 25, 2016",Ohio,Dayton,3300 block of Riverside Dr,1,3,http://www.gunviolencearchive.org/incident/685379
"October 25, 2016",Virginia,Roanoke,830 Campbell Avenue Southeast,2,3,http://www.gunviolencearchive.org/incident/684130
"October 23, 2016",Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,5,http://www.gunviolencearchive.org/incident/683142
"October 22, 2016",California,Oakland,77th and Bancroft Avenues,0,7,http://www.gunviolencearchive.org/incident/682298
"October 18, 2016",California,San Francisco,325 La Grande Ave,0,4,http://www.gunviolencearchive.org/incident/679290
"October 17, 2016",Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,http://www.gunviolencearchive.org/incident/678438
"October 15, 2016",Alabama,Mobile,1800 block of St Stephens Road,0,5,http://www.gunviolencearchive.org/incident/677293
"October 15, 2016",Illinois,Rockford,7801 East State St,1,5,http://www.gunviolencearchive.org/incident/676686
"October 15, 2016",California,Los Angeles,2918 Rimpau Blvd,4,11,http://www.gunviolencearchive.org/incident/676663
"October 14, 2016",Illinois,Chicago,3300 block of W Maypole Ave,1,6,http://www.gunviolencearchive.org/incident/676376
"October 13, 2016",Illinois,Chicago,2700 block of West Lexington,0,4,http://www.gunviolencearchive.org/incident/675993
"October 9, 2016",Michigan,Grand Rapids,1850 28th Street SE,1,8,http://www.gunviolencearchive.org/incident/672203
"October 9, 2016",California,Sacramento,1696 Arden Way,1,3,http://www.gunviolencearchive.org/incident/672217
"October 8, 2016",New York,Brooklyn,7301 3rd Ave,0,4,http://www.gunviolencearchive.org/incident/671717
"October 4, 2016",Louisiana,New Orleans,3727 Ulloa Street,3,2,http://www.gunviolencearchive.org/incident/669777
"October 3, 2016",Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,http://www.gunviolencearchive.org/incident/668407
"October 2, 2016",Texas,San Antonio,2600 South Flores Street,1,4,http://www.gunviolencearchive.org/incident/667984
"October 1, 2016",Illinois,Pembroke Township,17250E Road,4,0,http://www.gunviolencearchive.org/incident/668279
"October 1, 2016",California,Fresno,3200 block of East Clay Avenue,0,4,http://www.gunviolencearchive.org/incident/668352
"September 29, 2016",California,San Francisco,400 block of Ellis Street,1,3,http://www.gunviolencearchive.org/incident/665995
"September 26, 2016",North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,http://www.gunviolencearchive.org/incident/663624
"September 26, 2016",Texas,Humble,21219 Grand Linden Ct,0,4,http://www.gunviolencearchive.org/incident/663789
"September 26, 2016",Texas,Houston,5450 Weslayan St,1,6,http://www.gunviolencearchive.org/incident/663106
"September 25, 2016",Illinois,Champaign,300 block of E. Green St,1,3,http://www.gunviolencearchive.org/incident/662548
"September 24, 2016",Maryland,Baltimore,Greenmount Avenue and Preston Street,0,8,http://www.gunviolencearchive.org/incident/662342
"September 23, 2016",Washington,Burlington,201 Cascade Mall Dr,5,0,http://www.gunviolencearchive.org/incident/661703
"September 18, 2016",Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,http://www.gunviolencearchive.org/incident/657854
"September 18, 2016",Virginia,Lynchburg,421 Rivermont Ave,1,3,http://www.gunviolencearchive.org/incident/657863
